nameDe;nameFr;chShis;burNo;ctNo
Neue Schule für Gestaltung Bern Campus Muristalden;Neue Schule für Gestaltung Bern Campus Muristalden;;;
NMS Bern;NMS Bern;;;
NOSS Berufsbildungszentrum;NOSS Berufsbildungszentrum;;;
Passerelle;Passerelle;;;
Passerelle pour l'espace Berne et Jura;Passerelle pour l'espace Berne et Jura;;;
Schule für Gestaltung Bern und Biel;Schule für Gestaltung Bern und Biel;;;
Schule Holzbildhauerei Brienz;Schule für Gestaltung Bern und Biel;;;
Schweizerische Hotelfachschule Luzern SHL;Schweizerische Hotelfachschule Luzern SHL;;;
Scuola specializzata superiore in cure infermieristiche (SSSCI);Scuola specializzata superiore in cure infermieristiche (SSSCI);;;
STS Schweizerische Treuhänder Schule Bern;STS Schweizerische Treuhänder Schule Bern;;;
Technische Fachschule Bern;Technische Fachschule Bern;;;
Wirtschaftsmittelschule Neuenstadt;Wirtschaftsmittelschule Neuenstadt;;;
Wirtschaftsmittelschule WMS Biel;Wirtschaftsmittelschule WMS Biel;;;
WKS Bern;WKS Bern;;;
