abschlussDe;ausbildungskategorie;ausbildungsstaetteDe;Bildungsrichtung (Optional)
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BETRIEBE;BBZ Biel;
Eidg. Berufsattest EBA (dual Schule-Lehrbetrieb);BETRIEBE;BBZ Biel;
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;BBZ Olten;BERUFLICHE_GRUNDBILDUNG
Berufsmaturität 2;BERUFSFACHSCHULEN;BBZ Olten;
Diplom HF;HOEHERE_FACHSCHULE;BBZ Olten;
Diplom HF;HOEHERE_FACHSCHULE;Berner Bildungszentrum Pflege;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Berner Maturitätsschule für Erwachsene BME;
Passerelle Berufsmaturität/Fachmaturität – universitäre Hochschulen;BRUECKENANGEBOT;Berner Maturitätsschule für Erwachsene BME;HOCHSCHULE
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;Berufsbildungszentrum IDM;BERUFLICHE_GRUNDBILDUNG
Vorlehre;BRUECKENANGEBOT;Berufsbildungszentrum IDM;BERUFLICHE_GRUNDBILDUNG
Eidg. Berufsattest EBA (Vollzeitschule);BERUFSFACHSCHULEN;Berufsbildungszentrum IDM;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;Berufsbildungszentrum IDM;
Berufsmaturität 2;BERUFSFACHSCHULEN;Berufsbildungszentrum IDM;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BERUFSFACHSCHULEN;Berufsbildungszentrum IDM;
Eidg. Berufsattest EBA (dual Schule-Lehrbetrieb);BERUFSFACHSCHULEN;Berufsbildungszentrum IDM;
Vorlehre 25 Plus;BRUECKENANGEBOT;Berufsbildungszentrum IDM;BERUFLICHE_GRUNDBILDUNG
Berufsvorbereitendes Schuljahr;BRUECKENANGEBOT;Berufsfachschule Langenthal;BERUFLICHE_GRUNDBILDUNG
Berufsmaturität 2;BERUFSFACHSCHULEN;Berufsfachschule Langenthal;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BETRIEBE;Berufsfachschule Langenthal;
Eidg. Berufsattest EBA (dual Schule-Lehrbetrieb);BETRIEBE;Berufsfachschule Langenthal;
Berufsvorbereitendes Schuljahr;BERUFSFACHSCHULEN;Bildungszentrum Emme;
Eidg. Fachausweis (Berufsprüfung BP);BERUFSPRUEFUNG;Bildungszentrum Emme;
